,name,link_vacancy,name_company,link_company,min_salary,maх_salary,salary_currency
0,Data инженер,https://ekaterinburg.hh.ru/vacancy/41512086?query=data%20engineer, Сбер. IT,https://ekaterinburg.hh.ru/employer/3529?dpt=3529-3529-it,,,
1,Data Engineer (Information Retrieval Team),https://ekaterinburg.hh.ru/vacancy/42180419?query=data%20engineer,ООО IHS Global,https://ekaterinburg.hh.ru/employer/841087,,,
2,Data engineer,https://ekaterinburg.hh.ru/vacancy/42060848?query=data%20engineer,ОАО БПС-Сбербанк,https://ekaterinburg.hh.ru/employer/829010,,,
3,Data Scientist,https://ekaterinburg.hh.ru/vacancy/42060800?query=data%20engineer,ОАО БПС-Сбербанк,https://ekaterinburg.hh.ru/employer/829010,,,
4,Data Scientist (middle or senior),https://ekaterinburg.hh.ru/vacancy/38576646?query=data%20engineer,ООО РАБЛЗ,https://ekaterinburg.hh.ru/employer/2223982,,500000.0,руб.
5,Data Engineer (junior),https://ekaterinburg.hh.ru/vacancy/42212973?query=data%20engineer, СберЛогистика,https://ekaterinburg.hh.ru/employer/4232036,100000.0,,руб.
6,Junior Big Data Engineer,https://ekaterinburg.hh.ru/vacancy/42191351?query=data%20engineer,ООО СЕНЛА,https://ekaterinburg.hh.ru/employer/2503967,,,
7,Data Engineer,https://ekaterinburg.hh.ru/vacancy/41469811?query=data%20engineer,ООО Айти-Солюшнс,https://ekaterinburg.hh.ru/employer/1758157,200000.0,,руб.
8,Data Engineer,https://ekaterinburg.hh.ru/vacancy/41474079?query=data%20engineer, Метр Квадратный,https://ekaterinburg.hh.ru/employer/4151200,170000.0,,руб.
9,Data Engineer,https://ekaterinburg.hh.ru/vacancy/42028953?query=data%20engineer, Платформа ОФД,https://ekaterinburg.hh.ru/employer/3536900,150000.0,200000.0,руб.
10,Data Engineer SAP (remote),https://ekaterinburg.hh.ru/vacancy/42198667?query=data%20engineer, Nitka Technologies,https://ekaterinburg.hh.ru/employer/939874,3000.0,,USD
11,Senior/Middle ML Engineer (Data Scientist),https://ekaterinburg.hh.ru/vacancy/41907033?query=data%20engineer,ООО Адаперио,https://ekaterinburg.hh.ru/employer/2845847,200000.0,,руб.
12,Data Engineer SAP (remote),https://ekaterinburg.hh.ru/vacancy/42198666?query=data%20engineer, Nitka Technologies,https://ekaterinburg.hh.ru/employer/939874,3000.0,,USD
13,Data engineer - Trade Finance,https://ekaterinburg.hh.ru/vacancy/42208370?query=data%20engineer, Deutsche Bank Technology Center,https://ekaterinburg.hh.ru/employer/1641540,220000.0,,руб.
14,System Analyst (Life Science),https://ekaterinburg.hh.ru/vacancy/41828184?query=data%20engineer, Дженстек,https://ekaterinburg.hh.ru/employer/1128487,130000.0,200000.0,руб.
15,Data Engineer - Sales Home,https://ekaterinburg.hh.ru/vacancy/41459376?query=data%20engineer, Deutsche Bank Technology Center,https://ekaterinburg.hh.ru/employer/1641540,220000.0,,руб.
16,Machine Learning Engineer,https://ekaterinburg.hh.ru/vacancy/41182098?query=data%20engineer, Greenscreens.AI,https://ekaterinburg.hh.ru/employer/5103893,2800.0,4000.0,EUR
17,Data scientist/ML Engineer,https://ekaterinburg.hh.ru/vacancy/41831705?query=data%20engineer, Goodwix,https://ekaterinburg.hh.ru/employer/2014783,,,
18,Data Scientist / Machine Learning engineer,https://ekaterinburg.hh.ru/vacancy/42182537?query=data%20engineer, First Line Software,https://ekaterinburg.hh.ru/employer/638130,,,
19,Scala developer/Data Engineer,https://ekaterinburg.hh.ru/vacancy/40902542?query=data%20engineer,ООО Retail Rocket,https://ekaterinburg.hh.ru/employer/2887273,150000.0,,руб.
20,DevOps инженер (data focus),https://ekaterinburg.hh.ru/vacancy/41762064?query=data%20engineer,ООО Диплей,https://ekaterinburg.hh.ru/employer/4914081,180000.0,,руб.
21,Data Scientist / ML engineer,https://ekaterinburg.hh.ru/vacancy/42139281?query=data%20engineer, Quadcode,https://ekaterinburg.hh.ru/employer/1876072,,,
22,Scala developer/Data Engineer,https://ekaterinburg.hh.ru/vacancy/42114297?query=data%20engineer,ООО Retail Rocket,https://ekaterinburg.hh.ru/employer/2887273,120000.0,,руб.
23,Data Engineer,https://ekaterinburg.hh.ru/vacancy/42201184?query=data%20engineer, Леруа Мерлен. Центральный офис,https://ekaterinburg.hh.ru/employer/8582?dpt=8582-8582-lmofis,,,
24,Data Engineer,https://ekaterinburg.hh.ru/vacancy/40444965?query=data%20engineer, Райффайзенбанк,https://ekaterinburg.hh.ru/employer/4023,,,
25,Руководитель группы Data инженеров (Chief Data Engineer),https://ekaterinburg.hh.ru/vacancy/41650158?query=data%20engineer," Лента, федеральная розничная сеть, IT ",https://ekaterinburg.hh.ru/employer/7172?dpt=7172-7172-it,,,
26,Data Engineer,https://ekaterinburg.hh.ru/vacancy/42085700?query=data%20engineer,ТОО Norsec Delta Projects,https://ekaterinburg.hh.ru/employer/1820343,,,
27,Data Scientist / NLP engineer,https://ekaterinburg.hh.ru/vacancy/42150067?query=data%20engineer, OCS Distribution,https://ekaterinburg.hh.ru/employer/566,,,
28,Data engineer / SQL-разработчик,https://ekaterinburg.hh.ru/vacancy/41126997?query=data%20engineer, Эквид,https://ekaterinburg.hh.ru/employer/1147526,130000.0,,руб.
29,Data Engineer,https://ekaterinburg.hh.ru/vacancy/42034985?query=data%20engineer, Sape,https://ekaterinburg.hh.ru/employer/2521048,,200000.0,руб.
30,Data Engineer,https://ekaterinburg.hh.ru/vacancy/41454685?query=data%20engineer, ATI.SU,https://ekaterinburg.hh.ru/employer/10607,,,
31,Data Scientist инженер,https://ekaterinburg.hh.ru/vacancy/41779288?query=data%20engineer,ООО Виго Лаб,https://ekaterinburg.hh.ru/employer/2283197,,270000.0,руб.
32,Data Analyst,https://ekaterinburg.hh.ru/vacancy/41744292?query=data%20engineer, REDMADROBOT,https://ekaterinburg.hh.ru/employer/567799,,,
33,Руководитель группы Data инженеров (Chief Data Engineer),https://ekaterinburg.hh.ru/vacancy/41650274?query=data%20engineer," Лента, федеральная розничная сеть, IT ",https://ekaterinburg.hh.ru/employer/7172?dpt=7172-7172-it,,,
34,QA engineer,https://ekaterinburg.hh.ru/vacancy/41954161?query=data%20engineer,ООО Диплей,https://ekaterinburg.hh.ru/employer/4914081,,150000.0,руб.
35,Senior QA engineer (Remote),https://ekaterinburg.hh.ru/vacancy/41906841?query=data%20engineer,ООО ОнТаргет ЛАБС,https://ekaterinburg.hh.ru/employer/850334,3000.0,4000.0,USD
36,Senior Data Engineer,https://ekaterinburg.hh.ru/vacancy/42129767?query=data%20engineer,АО TECHNODOM Operator (Технодом Оператор),https://ekaterinburg.hh.ru/employer/25115,,,
37,Data Engineer,https://ekaterinburg.hh.ru/vacancy/42202664?query=data%20engineer, Перекресток Впрок,https://ekaterinburg.hh.ru/employer/4759512,,,
38,Data Engineer (Удаленно),https://ekaterinburg.hh.ru/vacancy/41746767?query=data%20engineer, Plarium,https://ekaterinburg.hh.ru/employer/1753419,,,
39,Data engineer,https://ekaterinburg.hh.ru/vacancy/40783407?query=data%20engineer, Алгоритмика,https://ekaterinburg.hh.ru/employer/2657797,,,
40,Data Engineer SberDevices,https://ekaterinburg.hh.ru/vacancy/39684230?query=data%20engineer, Сбер. IT,https://ekaterinburg.hh.ru/employer/3529?dpt=3529-3529-it,,,
41,IM Data Administrator,https://ekaterinburg.hh.ru/vacancy/42140028?query=data%20engineer,АО ПСН КазСтрой,https://ekaterinburg.hh.ru/employer/859571,,,
42,Data Engineer,https://ekaterinburg.hh.ru/vacancy/40616758?query=data%20engineer, LuckyGroup,https://ekaterinburg.hh.ru/employer/4471349,120000.0,,руб.
43,Big Data Engineer,https://ekaterinburg.hh.ru/vacancy/40896967?query=data%20engineer, ЦРТ | Группа компаний,https://ekaterinburg.hh.ru/employer/4585,,,
44,Data Engineer (Удаленно),https://ekaterinburg.hh.ru/vacancy/41746766?query=data%20engineer, Plarium,https://ekaterinburg.hh.ru/employer/1753419,,,
45,Data Engineer (Аналитик),https://ekaterinburg.hh.ru/vacancy/42150214?query=data%20engineer, Сбер для экспертов,https://ekaterinburg.hh.ru/employer/3529?dpt=3529-3529-prof,,,
46,Data Scientist,https://ekaterinburg.hh.ru/vacancy/42155277?query=data%20engineer, Газпромбанк,https://ekaterinburg.hh.ru/employer/3388?dpt=3388-3388-gazprom,,,
47,Data Engineer (Middle),https://ekaterinburg.hh.ru/vacancy/40895825?query=data%20engineer,ООО РАБЛЗ,https://ekaterinburg.hh.ru/employer/2223982,,350000.0,руб.
48,Data Scientist,https://ekaterinburg.hh.ru/vacancy/42136668?query=data%20engineer, oneFactor,https://ekaterinburg.hh.ru/employer/2336426,,,
49,Data engineer,https://ekaterinburg.hh.ru/vacancy/41541034?query=data%20engineer, inDriver,https://ekaterinburg.hh.ru/employer/2524797,,,
50,Machine Learning Engineer,https://ekaterinburg.hh.ru/vacancy/41697339?query=data%20engineer,ПАО Depdiko,https://ekaterinburg.hh.ru/employer/3796514,2000.0,3000.0,USD
51,Data Engineer (Online Marketplace),https://ekaterinburg.hh.ru/vacancy/41816915?query=data%20engineer, DataArt,https://ekaterinburg.hh.ru/employer/107359,,,
52,Data engineer (Big Data),https://ekaterinburg.hh.ru/vacancy/41686833?query=data%20engineer, Билайн,https://ekaterinburg.hh.ru/employer/4934?dpt=bil-4934-beel,,,
53,Data Engineer,https://ekaterinburg.hh.ru/vacancy/41986160?query=data%20engineer, GFAIVE,https://ekaterinburg.hh.ru/employer/2081630,,,
54,Data Engineer в BI Team,https://ekaterinburg.hh.ru/vacancy/41038879?query=data%20engineer,ООО ЭдСервер,https://ekaterinburg.hh.ru/employer/3543358,,,
55,Data Analyst,https://ekaterinburg.hh.ru/vacancy/41743784?query=data%20engineer, REDMADROBOT,https://ekaterinburg.hh.ru/employer/567799,,,
56,Data Engineer,https://ekaterinburg.hh.ru/vacancy/41696484?query=data%20engineer,ООО Ультра Тенденции,https://ekaterinburg.hh.ru/employer/3070188,,,
57,Data Engineer,https://ekaterinburg.hh.ru/vacancy/39523980?query=data%20engineer, Сбер. IT,https://ekaterinburg.hh.ru/employer/3529?dpt=3529-3529-it,,,
58,Senior Data Engineer (Online Retailer),https://ekaterinburg.hh.ru/vacancy/41816920?query=data%20engineer, DataArt,https://ekaterinburg.hh.ru/employer/107359,,,
59,Data Engineer,https://ekaterinburg.hh.ru/vacancy/39191138?query=data%20engineer, «Газпромбанк» (Акционерное общество),https://ekaterinburg.hh.ru/employer/3388,,,
60,"Big Data Engineer (Kyiv, Lviv, Kharkiv)",https://ekaterinburg.hh.ru/vacancy/42155844?query=data%20engineer, Capital Recruiters,https://ekaterinburg.hh.ru/employer/157789,,,
61,Junior Data Scientist,https://ekaterinburg.hh.ru/vacancy/42201309?query=data%20engineer," EPAM Systems, Inc.",https://ekaterinburg.hh.ru/employer/632462,,,
62,Lead / Senior Data Engineer,https://ekaterinburg.hh.ru/vacancy/42101250?query=data%20engineer,ООО Uklon,https://ekaterinburg.hh.ru/employer/1896475,,,
63,Big Data Engineer,https://ekaterinburg.hh.ru/vacancy/37702433?query=data%20engineer,ООО Accenture,https://ekaterinburg.hh.ru/employer/4080,,,
64,QA Engineer (проект Big data & data visualization),https://ekaterinburg.hh.ru/vacancy/42206767?query=data%20engineer,ООО СВАПС системз,https://ekaterinburg.hh.ru/employer/2650651,,,
65,Data Engineer (Модель рынков),https://ekaterinburg.hh.ru/vacancy/42183744?query=data%20engineer, Сбер. IT,https://ekaterinburg.hh.ru/employer/3529?dpt=3529-3529-it,,,
66,Data Scientist (recommender systems),https://ekaterinburg.hh.ru/vacancy/39881292?query=data%20engineer,АО Центр программ лояльности,https://ekaterinburg.hh.ru/employer/4315301,,,
67,Data engineer (Big Data),https://ekaterinburg.hh.ru/vacancy/41846697?query=data%20engineer, Билайн,https://ekaterinburg.hh.ru/employer/4934?dpt=bil-4934-beel,,,
68,Database Engineer (Data Division),https://ekaterinburg.hh.ru/vacancy/39575203?query=data%20engineer, Infobip,https://ekaterinburg.hh.ru/employer/633863,,,
69,ML engineer/ Computer Vision Data Scientist,https://ekaterinburg.hh.ru/vacancy/41417540?query=data%20engineer,ЗАО Научсофт,https://ekaterinburg.hh.ru/employer/746783,,,
70,Data Scientist,https://ekaterinburg.hh.ru/vacancy/42180910?query=data%20engineer," EPAM Systems, Inc.",https://ekaterinburg.hh.ru/employer/632462,,,
71,Data Engineer,https://ekaterinburg.hh.ru/vacancy/41603353?query=data%20engineer, Lingoda GmbH,https://ekaterinburg.hh.ru/employer/5143995,,,
72,Data Engineer,https://ekaterinburg.hh.ru/vacancy/42175786?query=data%20engineer, Andersen,https://ekaterinburg.hh.ru/employer/851604,,,
73,Data Scientist,https://ekaterinburg.hh.ru/vacancy/41696790?query=data%20engineer, Plarium,https://ekaterinburg.hh.ru/employer/1753419,,,
74,Junior Project Engineer,https://ekaterinburg.hh.ru/vacancy/40677794?query=data%20engineer,ООО Ренейссанс Хэви Индастрис,https://ekaterinburg.hh.ru/employer/3459235,,,
75,Data Engineer (ETL / SQL),https://ekaterinburg.hh.ru/vacancy/39899456?query=data%20engineer,АО Рамакс Интернейшнл,https://ekaterinburg.hh.ru/employer/142514,,,
76,Data Engineer,https://ekaterinburg.hh.ru/vacancy/42175784?query=data%20engineer, Andersen,https://ekaterinburg.hh.ru/employer/851604,,,
77,DataOps инженер,https://ekaterinburg.hh.ru/vacancy/42208994?query=data%20engineer,ООО Вандерсофт Интернэшнл,https://ekaterinburg.hh.ru/employer/4792648,,180000.0,руб.
78,Data Architect,https://ekaterinburg.hh.ru/vacancy/42188107?query=data%20engineer,ТОО AYACOM,https://ekaterinburg.hh.ru/employer/1171465,,,
79,Data Engineer,https://ekaterinburg.hh.ru/vacancy/40698009?query=data%20engineer, Леруа Мерлен. Центральный офис,https://ekaterinburg.hh.ru/employer/8582?dpt=8582-8582-lmofis,,,
80,Data Engineer,https://ekaterinburg.hh.ru/vacancy/42173627?query=data%20engineer, Capital Recruiters,https://ekaterinburg.hh.ru/employer/157789,,,
81,Technical Safety Designer,https://ekaterinburg.hh.ru/vacancy/42140294?query=data%20engineer,АО ПСН КазСтрой,https://ekaterinburg.hh.ru/employer/859571,,,
82,Data Scientist,https://ekaterinburg.hh.ru/vacancy/40085345?query=data%20engineer, Infobip,https://ekaterinburg.hh.ru/employer/633863,,,
83,C# Developer / Data Engineer (remote),https://ekaterinburg.hh.ru/vacancy/41553609?query=data%20engineer, Systematic Alpha Oy,https://ekaterinburg.hh.ru/employer/5101123,,,
84,Data Engineer,https://ekaterinburg.hh.ru/vacancy/42175785?query=data%20engineer, Andersen,https://ekaterinburg.hh.ru/employer/851604,,,
85,Data engineer,https://ekaterinburg.hh.ru/vacancy/41792487?query=data%20engineer,ООО ДИДЖИ ТЕХ,https://ekaterinburg.hh.ru/employer/4346163,,,
86,Data Engineer (Cloud Team),https://ekaterinburg.hh.ru/vacancy/38450281?query=data%20engineer, Big Data Solutions,https://ekaterinburg.hh.ru/employer/2487773,,,
87,Data engineer,https://ekaterinburg.hh.ru/vacancy/40980341?query=data%20engineer,АО ВТБ Лизинг,https://ekaterinburg.hh.ru/employer/84355,,,
88,Data engineer (в команду развития графовой аналитики),https://ekaterinburg.hh.ru/vacancy/39017576?query=data%20engineer, Сбер для экспертов,https://ekaterinburg.hh.ru/employer/3529?dpt=3529-3529-prof,,,
89,Data Engineer,https://ekaterinburg.hh.ru/vacancy/39408997?query=data%20engineer, Game Insight,https://ekaterinburg.hh.ru/employer/735444,,,
